id,category,product_name,product_type,quantity,units,batch_number,mfg_date,expiry_date,selling_price,gst,product_code,created_by,created_at,updated_at,modified_by,actual_price,is_active,selling_price2,selling_price3
75,14,Zytol - 5 Ltr,Sales,20,nos,,,,,,SA-93,1,15-07-2021 00:00,,,800,TRUE,,
87,16,Bioassay Vials - RFB,Service,20,nos,T2008,,,,,SA-94,1,15-07-2021 00:00,,,120,TRUE,,
88,16,Quick Bayt 50gm,Service,20,nos,424065,,,,,SA-95,1,15-07-2021 00:00,,,88,TRUE,,
89,16,Ratcon Cake Service,Service,20,nos,RBT-20109,,,,,SA-96,1,15-07-2021 00:00,,,11,TRUE,,
91,16,Carbol-N 100gm,Service,20,nos,8077,,,,,SA-97,1,15-07-2021 00:00,,,109,TRUE,,
93,17,Gum Green Big (Service),Service,20,nos,PGGB401,,,,,SA-98,1,15-07-2021 00:00,,,26,TRUE,,
94,17,Gum Green Small (Service),Service,20,nos,PGGS403,,,,,SA-99,1,15-07-2021 00:00,,,13,TRUE,,
95,17,Glue Trap (Lizard Trap),Service,20,nos,NIL,,,,,SA-100,1,15-07-2021 00:00,,,40,TRUE,,
96,18,CB Rebait Kit,Service,20,nos,NIL,,,,,SA-101,1,15-07-2021 00:00,,,1786,TRUE,,
97,18,CFB/RFB Rebait Kit,Service,20,nos,NIL,,,,,SA-102,1,15-07-2021 00:00,,,1786,TRUE,,
98,18,Storgard Dome Kit CB+K,Service,20,nos,NIL,,,,,SA-103,1,15-07-2021 00:00,,,2498,TRUE,,
99,18,Storgard Dome Kit CFB/RFB,Service,20,nos,NIL,,,,,SA-104,1,15-07-2021 00:00,,,2498,TRUE,,
100,19,Anchor Buckle - M,Service,20,nos,NIL,,,,,SA-105,1,15-07-2021 00:00,,,18,TRUE,,
105,19,Copper Ferruls 2mm,Service,20,nos,NIL,,,,,SA-106,1,15-07-2021 00:00,,,3,TRUE,,
106,19,Fisher Plugs (M6),Service,20,nos,NIL,,,,,SA-107,1,15-07-2021 00:00,,,1,TRUE,,
107,19,Screw Pin,Service,20,nos,NIL,,,,,SA-108,1,15-07-2021 00:00,,,1,TRUE,,
108,19,SS304 Hog Ring,Service,20,nos,NIL,,,,,SA-109,1,15-07-2021 00:00,,,0,TRUE,,
110,19,SS Bird Spike,Service,20,nos,NIL,,,,,SA-110,1,15-07-2021 00:00,,,,TRUE,,
111,19,Turnbuckle M5,Service,20,nos,NIL,,,,,SA-111,1,15-07-2021 00:00,,,65,TRUE,,
112,19,Zip,Service,20,nos,NIL,,,,,SA-112,1,15-07-2021 00:00,,,24,TRUE,,
113,20,Nose Mask Venus V-90,Service,20,nos,NIL,,,,,SA-113,1,15-07-2021 00:00,,,,TRUE,,
114,21,Roda Box Service,Service,20,nos,NIL,,,,,SA-114,1,15-07-2021 00:00,,,205,TRUE,,
